Ref,Qty,Value / Part,Description,Package,MPN (example),Notes
U1,1,ESP32-S3-WROOM-1-N8R2,"Wi-Fi/BLE MCU module, 8MB flash, 2MB PSRAM",Module SMD,ESP32-S3-WROOM-1-N8R2,Antenna keep-out; place at board edge
U2,1,MCP73831T-2ACI/OT,Single-cell Li-ion/LiPo charger 4.2V,SOT-23-5,MCP73831T-2ACI/OT,PROG sets I_chg
U3,1,AP2112K-3.3TRG1,3.3V 600mA LDO,SOT-23-5,AP2112K-3.3TRG1,Vout=3.3V
Q1,1,DMG2305UX,P-channel MOSFET (load-share),SOT-23,DMG2305UX-7,USB-priority power path
D1,1,SS14 / PMEG2010,Schottky diode (VBUS->VSYS),SOD-123 / SMA,PMEG2010AEH,~0.3V drop
D2,1,LED green,Charge-status LED,0603,150060VS75000,Via R6 to VBUS
J1,1,USB-C receptacle,USB 2.0 Type-C 16-pin,SMD,TYPE-C-31-M-12 / GT-USB-7010ASV,VBUS+data+CC
J2,1,JST-PH 2-pin,Battery connector,TH,B2B-PH-K-S,1S LiPo
J3,1,microSD socket,microSD push-pull (SPI),SMD,DM3AT-SF-PEJM5,Optional
J4,1,FPC 24-pin 0.5mm,E-Paper connector,SMD,Hirose FH12-24S-0.5SH,Match panel pinout!
DS1,1,GDEY0213B74,"2.13in mono E-Paper, 250x122, SSD1680",FPC panel,GDEY0213B74,Confirm FPC pinout vs datasheet
SW1,1,Tact SW,Button PREV,SMD 4-pin,TS-1187A,Debounce 100nF
SW2,1,Tact SW,Button NEXT,SMD 4-pin,TS-1187A,
SW3,1,Tact SW,Button SELECT,SMD 4-pin,TS-1187A,
SW4,1,Tact SW,BOOT,SMD 4-pin,TS-1187A,GPIO0
SW5,1,Tact SW,RESET / EN,SMD 4-pin,TS-1187A,EN
R1,2,5.1k,USB-C CC pulldowns (Rd),0402/0603,RC0603FR-075K1L,One per CC line
R2,1,2.0k,MCP73831 PROG (500mA),0603,,I_chg=1000/Rprog
R3,4,10k,Pull-ups: EN, BOOT, SD_CS, MISO,0603,,
R4,3,10k,Button pull-ups PREV/NEXT/SEL,0603,,Or use internal pull-ups
R5,2,100k,Battery-sense divider,0603,,VBAT/2 -> ADC
R6,1,1k,Charge LED series,0603,,
R7,2,100k,Q1 gate (to VBUS + pulldown),0603,,Load-share bias
C1,2,4.7uF,Charger in/out bulk,0603/0805,,VBUS & VBAT
C2,2,1uF,LDO in/out,0603,,VSYS & +3V3
C3,1,22uF,Module bulk,0805/1206,,Near U1 3V3
C4,1,10uF,+3V3 bulk,0805,,
C5,10,100nF,Decoupling (per supply pin),0402/0603,,Module, EPD, SD, buttons
C6,8,1uF,E-Paper pump/VCOM caps,0603,,Per panel datasheet
C7,3,100nF,Button/ADC debounce,0603,,
C8,1,100nF,EN cap,0603,,
FB1,1,Ferrite bead,USB shield to GND,0603,,Optional; or 1M || 4.7nF
TVS1,1,USBLC6-2SC6,USB ESD protection,SOT-23-6,USBLC6-2SC6,Optional but recommended
TP1,6,Test point,3V3/GND/VBAT/EN/BOOT/SPI,-,,Optional pads
